Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Duration ,Popularity,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4wjKBHUbARaVSnVUviim80,1HOeqtP7tHkKNJNLzQ2tnr,"MY KZ, UR BF",Man Alive,Everything Everything,2010-01-01,217653,3.63,39,"british indie rock,experimental pop,modern rock,new rave",0.516,0.704,5,-8.232,0,0.0568,0.00603,0,0.0996,0.45,103.344,4
6bu1USUraCJ7sl6A2XlftS,1HOeqtP7tHkKNJNLzQ2tnr,Qwerty Finger,Man Alive,Everything Everything,2010-01-01,231733,3.86,30,"british indie rock,experimental pop,modern rock,new rave",0.428,0.774,9,-5.759,1,0.0449,0.00334,0.00406,0.0962,0.0906,91.864,4
0R3OsaMMAK5IMFMhnk24OS,1HOeqtP7tHkKNJNLzQ2tnr,Schoolin’,Man Alive,Everything Everything,2010-01-01,278853,4.65,32,"british indie rock,experimental pop,modern rock,new rave",0.434,0.701,0,-8.339,1,0.0442,0.0904,0.0893,0.31,0.497,110.696,4
0KN856pGY6ajB1gVwXcvE7,1HOeqtP7tHkKNJNLzQ2tnr,Leave The Engine Room,Man Alive,Everything Everything,2010-01-01,187666,3.13,24,"british indie rock,experimental pop,modern rock,new rave",0.514,0.37,10,-10.992,0,0.0343,0.617,0.195,0.114,0.188,124.74,4
6VOGKtzCHvdGlhdLrls72l,1HOeqtP7tHkKNJNLzQ2tnr,Final Form,Man Alive,Everything Everything,2010-01-01,328560,5.48,30,"british indie rock,experimental pop,modern rock,new rave",0.387,0.658,4,-8.298,0,0.0434,0.203,0.148,0.106,0.339,120.007,4
6PSqpcP7qP3ugM9D44LzUA,1HOeqtP7tHkKNJNLzQ2tnr,Photoshop Handsome,Man Alive,Everything Everything,2010-01-01,198373,3.31,33,"british indie rock,experimental pop,modern rock,new rave",0.649,0.727,1,-5.626,1,0.0482,0.0141,0.0000242,0.0894,0.506,116.487,4
0gMNl9ifKUylujmBxXOfu6,1HOeqtP7tHkKNJNLzQ2tnr,Two For Nero,Man Alive,Everything Everything,2010-01-01,261293,4.35,24,"british indie rock,experimental pop,modern rock,new rave",0.486,0.386,7,-10.882,1,0.025,0.438,0,0.218,0.544,98.002,4
2IHnrnwOTvraXRSOVFVDS1,1HOeqtP7tHkKNJNLzQ2tnr,Suffragette Suffragette,Man Alive,Everything Everything,2010-01-01,243786,4.06,36,"british indie rock,experimental pop,modern rock,new rave",0.668,0.562,1,-9.034,0,0.0326,0.14,0.199,0.144,0.414,104.987,4
6qhsPObLJTQFEEBVVnGyRr,1HOeqtP7tHkKNJNLzQ2tnr,Come Alive Diana,Man Alive,Everything Everything,2010-01-01,254786,4.25,25,"british indie rock,experimental pop,modern rock,new rave",0.433,0.817,1,-5.356,0,0.0408,0.00224,0,0.196,0.383,146.49,4
3KOOJ2TzJGGNhKVWWHstf1,1HOeqtP7tHkKNJNLzQ2tnr,NASA Is On Your Side,Man Alive,Everything Everything,2010-01-01,305000,5.08,24,"british indie rock,experimental pop,modern rock,new rave",0.283,0.557,2,-7.872,1,0.0346,0.172,0.0000242,0.15,0.264,105.84,4
0xOdbTidrGK6PT9kBHdoY0,1HOeqtP7tHkKNJNLzQ2tnr,Tin (The Manhole),Man Alive,Everything Everything,2010-01-01,268986,4.48,26,"british indie rock,experimental pop,modern rock,new rave",0.373,0.408,4,-12.223,1,0.0338,0.974,0.164,0.0872,0.0722,144.896,4
4umjhi1NJLzJpXn8GuDrT2,1HOeqtP7tHkKNJNLzQ2tnr,Weights,Man Alive,Everything Everything,2010-01-01,340333,5.67,23,"british indie rock,experimental pop,modern rock,new rave",0.31,0.473,2,-9.053,1,0.0359,0.0765,0.00308,0.111,0.0412,120.803,4
6I5cQVYvoc5dqpyYvYHpSw,1HOeqtP7tHkKNJNLzQ2tnr,Cough Cough,Arc (Deluxe),Everything Everything,2013-01-14,222386,3.71,39,"british indie rock,experimental pop,modern rock,new rave",0.566,0.869,11,-5.532,0,0.0479,0.0588,0.0000269,0.217,0.729,127.011,4
1rg9i5UE2qefjows4qWlOl,1HOeqtP7tHkKNJNLzQ2tnr,Kemosabe,Arc (Deluxe),Everything Everything,2013-01-14,223733,3.73,41,"british indie rock,experimental pop,modern rock,new rave",0.587,0.728,1,-6.003,1,0.0545,0.251,0.0104,0.551,0.707,173.989,4
0G3r1WTrhjXZD7cmEQiEyl,1HOeqtP7tHkKNJNLzQ2tnr,Torso Of The Week,Arc (Deluxe),Everything Everything,2013-01-14,273920,4.57,28,"british indie rock,experimental pop,modern rock,new rave",0.649,0.565,11,-8.676,0,0.0444,0.0574,0.495,0.103,0.139,90.049,4
48RB9UWejJxtNJcmNyyh4j,1HOeqtP7tHkKNJNLzQ2tnr,Duet,Arc (Deluxe),Everything Everything,2013-01-14,222186,3.70,32,"british indie rock,experimental pop,modern rock,new rave",0.511,0.65,4,-6.394,1,0.0279,0.104,0.00966,0.093,0.318,125.093,4
4mIucROkc8m8EZtHKmJkqE,1HOeqtP7tHkKNJNLzQ2tnr,Choice Mountain,Arc (Deluxe),Everything Everything,2013-01-14,204253,3.40,29,"british indie rock,experimental pop,modern rock,new rave",0.681,0.557,11,-8.699,1,0.0332,0.439,0.219,0.112,0.533,116.034,4
4YVAnT6ZITl5DJ7hYnY0cg,1HOeqtP7tHkKNJNLzQ2tnr,Feet For Hands,Arc (Deluxe),Everything Everything,2013-01-14,236280,3.94,25,"british indie rock,experimental pop,modern rock,new rave",0.52,0.847,2,-8.006,1,0.0379,0.176,0.142,0.324,0.583,130.929,4
7fmqTdQpkU6axEeRzey8P4,1HOeqtP7tHkKNJNLzQ2tnr,Undrowned,Arc (Deluxe),Everything Everything,2013-01-14,180773,3.01,29,"british indie rock,experimental pop,modern rock,new rave",0.364,0.536,2,-8.632,0,0.0308,0.846,0.582,0.11,0.345,82.008,4
7an8mTKpnCyaEiih64Ywdd,1HOeqtP7tHkKNJNLzQ2tnr,_Arc_,Arc (Deluxe),Everything Everything,2013-01-14,88680,1.48,23,"british indie rock,experimental pop,modern rock,new rave",0.371,0.339,1,-14.561,1,0.0324,0.496,0.807,0.711,0.124,122.559,4
68pA3y3FyEU5p35ccMrMTH,1HOeqtP7tHkKNJNLzQ2tnr,Armourland,Arc (Deluxe),Everything Everything,2013-01-14,220813,3.68,24,"british indie rock,experimental pop,modern rock,new rave",0.584,0.69,5,-7.274,1,0.0474,0.0698,0.00191,0.0712,0.747,106.351,4
0x4ytdRTKX7k6fIiHQFZS2,1HOeqtP7tHkKNJNLzQ2tnr,The House Is Dust,Arc (Deluxe),Everything Everything,2013-01-14,208480,3.47,22,"british indie rock,experimental pop,modern rock,new rave",0.533,0.335,2,-12.783,1,0.0379,0.441,0.552,0.0884,0.0974,130.249,3
7zkOj5tmXFxqxxAbOzvkgu,1HOeqtP7tHkKNJNLzQ2tnr,Radiant,Arc (Deluxe),Everything Everything,2013-01-14,230120,3.84,28,"british indie rock,experimental pop,modern rock,new rave",0.564,0.83,11,-6.493,0,0.0382,0.056,0.0000652,0.378,0.836,88.993,4
1NzfL24wkmyEe20T0exHvM,1HOeqtP7tHkKNJNLzQ2tnr,The Peaks,Arc (Deluxe),Everything Everything,2013-01-14,326200,5.44,24,"british indie rock,experimental pop,modern rock,new rave",0.331,0.337,5,-10.868,1,0.0329,0.647,0.207,0.348,0.22,57.156,4
0SlCGqseokg8qXSBJRQwII,1HOeqtP7tHkKNJNLzQ2tnr,Don't Try,Arc (Deluxe),Everything Everything,2013-01-14,253600,4.23,28,"british indie rock,experimental pop,modern rock,new rave",0.571,0.68,5,-7.152,1,0.0567,0.426,0.0156,0.316,0.229,134.971,4
2lbeT8vvLPVoAXjgWP06pT,1HOeqtP7tHkKNJNLzQ2tnr,Awe/Arc,Arc (Deluxe),Everything Everything,2013-01-14,244986,4.08,22,"british indie rock,experimental pop,modern rock,new rave",0.562,0.636,1,-6.841,1,0.035,0.0584,0.0331,0.674,0.305,122.492,4
2AMuL6iJxErVNKcgnAC6ie,1HOeqtP7tHkKNJNLzQ2tnr,No Plan,Arc (Deluxe),Everything Everything,2013-01-14,224960,3.75,23,"british indie rock,experimental pop,modern rock,new rave",0.526,0.871,1,-6.542,1,0.0598,0.115,0.0000117,0.0569,0.504,162.09,4
0AX8X4HlOnhrgIj1Ei0t7q,1HOeqtP7tHkKNJNLzQ2tnr,Justice,Arc (Deluxe),Everything Everything,2013-01-14,186213,3.10,22,"british indie rock,experimental pop,modern rock,new rave",0.502,0.713,5,-7.816,1,0.0446,0.193,0.00622,0.103,0.601,131.979,4
1vQJo9Z9bvaeqdoFh4W097,1HOeqtP7tHkKNJNLzQ2tnr,To The Blade,Get To Heaven (Deluxe),Everything Everything,2015-06-22,253986,4.23,42,"british indie rock,experimental pop,modern rock,new rave",0.523,0.788,6,-7.658,1,0.0582,0.0142,0.00283,0.104,0.225,149.895,4
4L2F0LcDVtNrFc1K4lmx3m,1HOeqtP7tHkKNJNLzQ2tnr,Distant Past,Get To Heaven (Deluxe),Everything Everything,2015-06-22,221693,3.69,51,"british indie rock,experimental pop,modern rock,new rave",0.694,0.812,11,-6.473,0,0.0355,0.0666,0.000533,0.211,0.522,129.988,4
1IudVcAziTe0kOu3De3jDt,1HOeqtP7tHkKNJNLzQ2tnr,Get To Heaven,Get To Heaven (Deluxe),Everything Everything,2015-06-22,223693,3.73,38,"british indie rock,experimental pop,modern rock,new rave",0.703,0.889,1,-6.801,0,0.0609,0.0165,0.00752,0.0589,0.803,117.009,4
5DN1QdgodyvoM4efdXUR1c,1HOeqtP7tHkKNJNLzQ2tnr,Regret,Get To Heaven (Deluxe),Everything Everything,2015-06-22,202613,3.38,42,"british indie rock,experimental pop,modern rock,new rave",0.68,0.828,2,-4.939,1,0.0743,0.012,0,0.133,0.551,120.982,4
0Ou9ZGEhuxJwu5SbEp2XQp,1HOeqtP7tHkKNJNLzQ2tnr,Spring / Sun / Winter / Dread,Get To Heaven (Deluxe),Everything Everything,2015-06-22,198213,3.30,47,"british indie rock,experimental pop,modern rock,new rave",0.735,0.87,6,-5.452,1,0.0472,0.426,0.00449,0.0256,0.927,96.262,4
6LtR9Sz2copzqmpcrkbYxU,1HOeqtP7tHkKNJNLzQ2tnr,The Wheel (Is Turning Now),Get To Heaven (Deluxe),Everything Everything,2015-06-22,328200,5.47,36,"british indie rock,experimental pop,modern rock,new rave",0.37,0.72,7,-8.359,1,0.0532,0.00553,0.0799,0.077,0.31,133.035,4
2cUC5EKLop2dZr45cRpyds,1HOeqtP7tHkKNJNLzQ2tnr,Fortune 500,Get To Heaven (Deluxe),Everything Everything,2015-06-22,256266,4.27,35,"british indie rock,experimental pop,modern rock,new rave",0.478,0.704,9,-8.962,0,0.0432,0.128,0.0346,0.161,0.177,132.951,4
4Kxribw8agTbMRLmAJcTRn,1HOeqtP7tHkKNJNLzQ2tnr,Blast Doors,Get To Heaven (Deluxe),Everything Everything,2015-06-22,210226,3.50,49,"british indie rock,experimental pop,modern rock,new rave",0.585,0.791,11,-7.587,0,0.0592,0.0745,0.0000172,0.0915,0.85,159.998,4
7IFcjdElhzc6ELELuosDOQ,1HOeqtP7tHkKNJNLzQ2tnr,Zero Pharaoh,Get To Heaven (Deluxe),Everything Everything,2015-06-22,219373,3.66,36,"british indie rock,experimental pop,modern rock,new rave",0.416,0.766,4,-7.343,0,0.0603,0.393,0.00513,0.392,0.525,195.709,4
1SN1gifVAKecU85lZggS8k,1HOeqtP7tHkKNJNLzQ2tnr,No Reptiles,Get To Heaven (Deluxe),Everything Everything,2015-06-22,282853,4.71,49,"british indie rock,experimental pop,modern rock,new rave",0.631,0.515,5,-9.038,1,0.0245,0.0339,0.00124,0.116,0.381,154.935,4
05MqkhneIhKSPJ76FBSULY,1HOeqtP7tHkKNJNLzQ2tnr,Warm Healer,Get To Heaven (Deluxe),Everything Everything,2015-06-22,372320,6.21,43,"british indie rock,experimental pop,modern rock,new rave",0.596,0.428,11,-11.389,0,0.0371,0.177,0.885,0.134,0.55,127.492,3
1iAexzag3WmXPIWc3itxsS,1HOeqtP7tHkKNJNLzQ2tnr,We Sleep In Pairs,Get To Heaven (Deluxe),Everything Everything,2015-06-22,203786,3.40,31,"british indie rock,experimental pop,modern rock,new rave",0.574,0.416,10,-10.397,0,0.0261,0.265,0.000232,0.105,0.488,80.036,4
22h9kZ4NcaCs74Mz5qTxIn,1HOeqtP7tHkKNJNLzQ2tnr,Hapsburg Lippp,Get To Heaven (Deluxe),Everything Everything,2015-06-22,219506,3.66,36,"british indie rock,experimental pop,modern rock,new rave",0.361,0.732,7,-7.213,0,0.0511,0.0624,0,0.181,0.545,154.751,4
3H6ntFP4cmGzYS0O3rtVyp,1HOeqtP7tHkKNJNLzQ2tnr,President Heartbeat,Get To Heaven (Deluxe),Everything Everything,2015-06-22,201493,3.36,32,"british indie rock,experimental pop,modern rock,new rave",0.667,0.613,1,-7.829,1,0.0302,0.02,0.0000805,0.131,0.78,127.022,4
3fAs1GvVMjMeMCTdjyQgyC,1HOeqtP7tHkKNJNLzQ2tnr,Brainchild,Get To Heaven (Deluxe),Everything Everything,2015-06-22,231506,3.86,32,"british indie rock,experimental pop,modern rock,new rave",0.439,0.605,11,-7.707,1,0.0546,0.204,0.0000195,0.115,0.849,97.144,4
6OdkL4aZUfdmrFAU5jWo5E,1HOeqtP7tHkKNJNLzQ2tnr,Yuppie Supper,Get To Heaven (Deluxe),Everything Everything,2015-06-22,213546,3.56,30,"british indie rock,experimental pop,modern rock,new rave",0.351,0.965,4,-9.181,0,0.0497,0.000368,0.755,0.186,0.126,95.08,4
6Xq8o5rnN4JeoE88IDeW3L,1HOeqtP7tHkKNJNLzQ2tnr,Only As Good As My God,Get To Heaven (Deluxe),Everything Everything,2015-06-22,215200,3.59,44,"british indie rock,experimental pop,modern rock,new rave",0.571,0.704,9,-8.393,1,0.0525,0.0289,0.00285,0.345,0.482,153.023,4
4CNI0d2PFkhVxAljz1S96z,1HOeqtP7tHkKNJNLzQ2tnr,Night of the Long Knives,A Fever Dream,Everything Everything,2017-08-18,279226,4.65,35,"british indie rock,experimental pop,modern rock,new rave",0.599,0.656,7,-8.59,0,0.0353,0.0893,0.0213,0.11,0.318,124.983,4
499nKB8nH9NdGlCkxW1dvO,1HOeqtP7tHkKNJNLzQ2tnr,Can't Do,A Fever Dream,Everything Everything,2017-08-18,212066,3.53,35,"british indie rock,experimental pop,modern rock,new rave",0.655,0.871,2,-4.903,0,0.0667,0.0456,0.00000895,0.151,0.77,111.959,4
3WE4LS3Kag7thMS4yPLOxj,1HOeqtP7tHkKNJNLzQ2tnr,Desire,A Fever Dream,Everything Everything,2017-08-18,205813,3.43,33,"british indie rock,experimental pop,modern rock,new rave",0.315,0.844,1,-5.678,1,0.0815,0.000383,0.0525,0.135,0.547,127.015,4
6JB1nrWc7hW5alxNOyvuG2,1HOeqtP7tHkKNJNLzQ2tnr,Big Game,A Fever Dream,Everything Everything,2017-08-18,228000,3.80,23,"british indie rock,experimental pop,modern rock,new rave",0.385,0.596,2,-7.975,1,0.0284,0.125,0.0138,0.288,0.389,72.468,4
4FlMzWJ4TtOhYdiYD2l5ex,1HOeqtP7tHkKNJNLzQ2tnr,"Good Shot, Good Soldier",A Fever Dream,Everything Everything,2017-08-18,290826,4.85,30,"british indie rock,experimental pop,modern rock,new rave",0.66,0.5,7,-9.656,0,0.0376,0.217,0.0048,0.116,0.564,124.047,4
4u58myxbCSM73XAI9iuV7p,1HOeqtP7tHkKNJNLzQ2tnr,Run the Numbers,A Fever Dream,Everything Everything,2017-08-18,218880,3.65,27,"british indie rock,experimental pop,modern rock,new rave",0.507,0.758,2,-6.517,0,0.0411,0.0319,0.083,0.0907,0.61,83.015,4
5EMorUsuOmYSWwmCPfSJQ6,1HOeqtP7tHkKNJNLzQ2tnr,Put Me Together,A Fever Dream,Everything Everything,2017-08-18,332960,5.55,23,"british indie rock,experimental pop,modern rock,new rave",0.494,0.476,0,-9.469,1,0.029,0.183,0.202,0.141,0.137,126.999,4
6GcPnXbkPm2OFC60hdD1Gh,1HOeqtP7tHkKNJNLzQ2tnr,A Fever Dream,A Fever Dream,Everything Everything,2017-08-18,359213,5.99,27,"british indie rock,experimental pop,modern rock,new rave",0.538,0.584,10,-8.214,0,0.0301,0.0421,0.000138,0.508,0.2,107.986,4
6ZcfaNjfj5PwTU2pQLuvZS,1HOeqtP7tHkKNJNLzQ2tnr,Ivory Tower,A Fever Dream,Everything Everything,2017-08-18,233760,3.90,25,"british indie rock,experimental pop,modern rock,new rave",0.6,0.904,6,-6.877,1,0.0492,0.0198,0.142,0.0823,0.87,151.006,4
63bKXCZZW82MrJFTc0ymyZ,1HOeqtP7tHkKNJNLzQ2tnr,New Deep,A Fever Dream,Everything Everything,2017-08-18,146866,2.45,20,"british indie rock,experimental pop,modern rock,new rave",0.131,0.278,4,-18.187,1,0.0385,0.939,0.528,0.106,0.249,92.804,3
4QChN5KeUArsgLYQwg8xUn,1HOeqtP7tHkKNJNLzQ2tnr,White Whale,A Fever Dream,Everything Everything,2017-08-18,291613,4.86,23,"british indie rock,experimental pop,modern rock,new rave",0.414,0.243,9,-11.987,0,0.0327,0.506,0.0361,0.0581,0.181,135.602,4
7pPDsDwYW4gaSk7uKMO8zD,1HOeqtP7tHkKNJNLzQ2tnr,Lost Powers,RE-ANIMATOR,Everything Everything,2020-09-11,221786,3.70,30,"british indie rock,experimental pop,modern rock,new rave",0.46,0.879,1,-6.829,1,0.0527,0.0153,0.216,0.135,0.569,168.884,4
5AHT32ZFImTL5VbXhS0tnj,1HOeqtP7tHkKNJNLzQ2tnr,Big Climb,RE-ANIMATOR,Everything Everything,2020-09-11,234066,3.90,36,"british indie rock,experimental pop,modern rock,new rave",0.658,0.597,2,-8.315,1,0.0636,0.00941,0.00000164,0.0664,0.312,104.989,4
1wjkfgeJQhmFV4hZX8qrQq,1HOeqtP7tHkKNJNLzQ2tnr,It Was A Monstering,RE-ANIMATOR,Everything Everything,2020-09-11,274666,4.58,28,"british indie rock,experimental pop,modern rock,new rave",0.419,0.581,0,-8.683,1,0.0344,0.0159,0.179,0.24,0.214,151.976,4
1vJdRg6JMkShoId08xMO1Z,1HOeqtP7tHkKNJNLzQ2tnr,Planets,RE-ANIMATOR,Everything Everything,2020-09-11,237586,3.96,31,"british indie rock,experimental pop,modern rock,new rave",0.48,0.853,10,-5.981,0,0.0296,0.044,0.351,0.127,0.562,160.5,3
1Y4idGmihWZtamA6vRS3vQ,1HOeqtP7tHkKNJNLzQ2tnr,Moonlight,RE-ANIMATOR,Everything Everything,2020-09-11,220200,3.67,25,"british indie rock,experimental pop,modern rock,new rave",0.413,0.388,4,-9.078,1,0.0317,0.289,0.00766,0.109,0.184,110.016,3
0epPfYK7sXvqo0McBexoXm,1HOeqtP7tHkKNJNLzQ2tnr,Arch Enemy,RE-ANIMATOR,Everything Everything,2020-09-11,231893,3.86,38,"british indie rock,experimental pop,modern rock,new rave",0.652,0.701,1,-6.167,1,0.0336,0.0252,0.0000925,0.0473,0.57,100.963,4
7ce7fbxXAWoN445k6zCYlH,1HOeqtP7tHkKNJNLzQ2tnr,Lord Of The Trapdoor,RE-ANIMATOR,Everything Everything,2020-09-11,266186,4.44,24,"british indie rock,experimental pop,modern rock,new rave",0.541,0.602,6,-7.735,0,0.0357,0.00354,0.000728,0.0699,0.467,150.989,5
1CO6LXy0sB9vpGGe3WFq5J,1HOeqtP7tHkKNJNLzQ2tnr,Black Hyena,RE-ANIMATOR,Everything Everything,2020-09-11,238053,3.97,30,"british indie rock,experimental pop,modern rock,new rave",0.44,0.719,1,-8.161,1,0.0517,0.0713,0.386,0.326,0.461,79.714,4
3T4QYI67Cvmy8HahQZR0qq,1HOeqtP7tHkKNJNLzQ2tnr,In Birdsong,RE-ANIMATOR,Everything Everything,2020-09-11,313453,5.22,33,"british indie rock,experimental pop,modern rock,new rave",0.463,0.452,1,-10.794,1,0.0329,0.395,0.176,0.11,0.229,128.995,4
33aQgd1WJsqISSdGRs2gVk,1HOeqtP7tHkKNJNLzQ2tnr,The Actor,RE-ANIMATOR,Everything Everything,2020-09-11,244480,4.07,23,"british indie rock,experimental pop,modern rock,new rave",0.57,0.531,9,-8.105,1,0.0371,0.343,0.00142,0.0864,0.239,126.941,4
2NTGLoYLzFWB6omUnR7xa2,1HOeqtP7tHkKNJNLzQ2tnr,Violent Sun,RE-ANIMATOR,Everything Everything,2020-09-11,240786,4.01,43,"british indie rock,experimental pop,modern rock,new rave",0.405,0.901,9,-5.226,0,0.054,0.00111,0.000115,0.315,0.426,162.013,4
6o0IytQVis0KjQCkcFtqGD,1HOeqtP7tHkKNJNLzQ2tnr,Teletype,Raw Data Feel,Everything Everything,2022-05-20,220146,3.67,45,"british indie rock,experimental pop,modern rock,new rave",0.817,0.635,0,-7.666,0,0.0457,0.0298,0.00133,0.0716,0.733,120.014,4
4vXq5ukq78gSlKWBj5xOKA,1HOeqtP7tHkKNJNLzQ2tnr,I Want A Love Like This,Raw Data Feel,Everything Everything,2022-05-20,207013,3.45,43,"british indie rock,experimental pop,modern rock,new rave",0.691,0.673,8,-8.699,1,0.0364,0.0206,0.0701,0.0801,0.45,125.997,4
0ggtOtlelbjiOavXz4HHHx,1HOeqtP7tHkKNJNLzQ2tnr,Bad Friday,Raw Data Feel,Everything Everything,2022-05-20,191960,3.20,42,"british indie rock,experimental pop,modern rock,new rave",0.657,0.751,1,-6.896,0,0.0372,0.58,0.00224,0.395,0.834,86.033,5
0tLimqiQcY0HZ76eQXcqLK,1HOeqtP7tHkKNJNLzQ2tnr,Pizza Boy,Raw Data Feel,Everything Everything,2022-05-20,212866,3.55,49,"british indie rock,experimental pop,modern rock,new rave",0.734,0.643,2,-8.553,1,0.04,0.0484,0.00371,0.082,0.735,127.955,4
0CtQMil54kzybZVGAFAZ0S,1HOeqtP7tHkKNJNLzQ2tnr,Jennifer,Raw Data Feel,Everything Everything,2022-05-20,257853,4.30,44,"british indie rock,experimental pop,modern rock,new rave",0.568,0.791,9,-6.998,1,0.0602,0.109,0.000129,0.32,0.72,158.009,4
2BDFSeBWoFhZqdNyGpDLky,1HOeqtP7tHkKNJNLzQ2tnr,Metroland Is Burning,Raw Data Feel,Everything Everything,2022-05-20,224120,3.74,37,"british indie rock,experimental pop,modern rock,new rave",0.54,0.75,2,-8.78,1,0.0289,0.21,0.11,0.146,0.403,120.662,4
40vddco1tg38zcFnG6vL89,1HOeqtP7tHkKNJNLzQ2tnr,Leviathan,Raw Data Feel,Everything Everything,2022-05-20,320200,5.34,41,"british indie rock,experimental pop,modern rock,new rave",0.388,0.407,11,-8.784,0,0.0273,0.431,0.1,0.0699,0.109,147.869,4
6VMyClZkpac3kkAqsXMNma,1HOeqtP7tHkKNJNLzQ2tnr,Shark Week,Raw Data Feel,Everything Everything,2022-05-20,214440,3.57,36,"british indie rock,experimental pop,modern rock,new rave",0.596,0.675,11,-7.045,0,0.0466,0.0447,0.000498,0.11,0.53,149.939,4
5uUHxtR46y95SESY71TQkr,1HOeqtP7tHkKNJNLzQ2tnr,Cut UP!,Raw Data Feel,Everything Everything,2022-05-20,203746,3.40,35,"british indie rock,experimental pop,modern rock,new rave",0.756,0.834,1,-6.859,1,0.0515,0.0406,0.0246,0.285,0.831,123.969,4
6oA668x2hfDXFSiHm2FmCL,1HOeqtP7tHkKNJNLzQ2tnr,HEX,Raw Data Feel,Everything Everything,2022-05-20,163120,2.72,34,"british indie rock,experimental pop,modern rock,new rave",0.46,0.944,10,-7.32,1,0.0458,0.00328,0.0205,0.35,0.382,183.911,4
1BeHBXRg6nYIhOHuzTXCDM,1HOeqtP7tHkKNJNLzQ2tnr,My Computer,Raw Data Feel,Everything Everything,2022-05-20,186506,3.11,36,"british indie rock,experimental pop,modern rock,new rave",0.688,0.8,10,-5.702,0,0.0365,0.0362,0.000144,0.113,0.817,133.996,4
1KU7KXn9LntEtYaqhUJ1ql,1HOeqtP7tHkKNJNLzQ2tnr,Kevin’s Car,Raw Data Feel,Everything Everything,2022-05-20,242160,4.04,35,"british indie rock,experimental pop,modern rock,new rave",0.659,0.8,6,-6.802,1,0.0312,0.329,0.00194,0.0815,0.827,106.02,4
57iXjxOr3enDOZc9YnLIvh,1HOeqtP7tHkKNJNLzQ2tnr,Born Under A Meteor,Raw Data Feel,Everything Everything,2022-05-20,242080,4.03,32,"british indie rock,experimental pop,modern rock,new rave",0.576,0.773,10,-7.513,1,0.0351,0.225,0.178,0.0996,0.449,115.961,4
2Ein14pLjRHMG3obhI1C7Q,1HOeqtP7tHkKNJNLzQ2tnr,Software Greatman,Raw Data Feel,Everything Everything,2022-05-20,365066,6.08,32,"british indie rock,experimental pop,modern rock,new rave",0.6,0.554,0,-11.693,0,0.0354,0.129,0.597,0.127,0.0392,126.005,4